VotersAmount,Treshold00Probability,Treshold10Probability,Treshold20Probability,Treshold30Probability,Treshold40Probability,Treshold50Probability,Treshold60Probability,Treshold70Probability,Treshold80Probability,Treshold90Probability,Treshold100Probability,Treshold00AverageVotersAmount,Treshold10AverageVotersAmount,Treshold20AverageVotersAmount,Treshold30AverageVotersAmount,Treshold40AverageVotersAmount,Treshold50AverageVotersAmount,Treshold60AverageVotersAmount,Treshold70AverageVotersAmount,Treshold80AverageVotersAmount,Treshold90AverageVotersAmount,Treshold100AverageVotersAmount
1160,0.75,0.75,0.94,0.96,0.98,0.98,0.99,0.99,0.98,0.98,0.98,1160.00,1160.00,928.13,812.00,696.00,580.00,464.00,348.00,232.05,201.69,201.72
1170,0.75,0.75,0.94,0.96,0.98,0.98,0.99,0.99,0.99,0.98,0.98,1170.00,1170.00,936.14,819.00,702.00,585.00,468.00,351.00,234.05,203.53,203.59
1180,0.75,0.75,0.94,0.96,0.98,0.99,0.99,0.99,0.98,0.98,0.98,1180.00,1180.00,944.14,826.00,708.00,590.00,472.00,354.00,236.05,205.18,205.26
1190,0.75,0.76,0.94,0.96,0.98,0.98,0.99,0.99,0.98,0.98,0.98,1190.00,1190.00,952.13,833.00,714.00,595.00,476.00,357.00,238.04,206.94,206.95
1200,0.75,0.76,0.94,0.97,0.98,0.98,0.99,0.99,0.99,0.98,0.98,1200.00,1200.00,960.11,840.00,720.00,600.00,480.00,360.00,240.05,208.69,208.76
1210,0.76,0.76,0.94,0.97,0.98,0.99,0.99,0.99,0.99,0.98,0.98,1210.00,1210.00,968.14,847.00,726.00,605.00,484.00,363.00,242.05,210.79,210.65
1220,0.76,0.76,0.94,0.97,0.98,0.99,0.99,0.99,0.99,0.98,0.98,1220.00,1220.00,976.10,854.00,732.00,610.00,488.00,366.00,244.04,212.11,212.38
1230,0.76,0.76,0.94,0.97,0.98,0.99,0.99,0.99,0.99,0.98,0.98,1230.00,1230.00,984.11,861.00,738.00,615.00,492.00,369.00,246.05,214.01,214.07
1240,0.76,0.76,0.94,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.98,1240.00,1240.00,992.11,868.00,744.00,620.00,496.00,372.00,248.04,215.74,215.77
1250,0.76,0.76,0.94,0.97,0.98,0.99,0.99,0.99,0.99,0.98,0.98,1250.00,1250.00,1000.06,875.00,750.00,625.00,500.00,375.00,250.03,217.50,217.46
1260,0.76,0.76,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1260.00,1260.00,1008.10,882.00,756.00,630.00,504.00,378.00,252.04,219.38,219.26
1270,0.76,0.76,0.94,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.98,1270.00,1270.00,1016.11,889.00,762.00,635.00,508.00,381.00,254.04,220.84,220.84
1280,0.76,0.76,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1280.00,1280.00,1024.05,896.00,768.00,640.00,512.00,384.00,256.03,222.59,222.71
1290,0.76,0.76,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.98,0.99,1290.00,1290.00,1032.08,903.00,774.00,645.00,516.00,387.00,258.03,224.29,224.25
1300,0.77,0.76,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1300.00,1300.00,1040.08,910.00,780.00,650.00,520.00,390.00,260.04,226.37,226.05
1310,0.77,0.76,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1310.00,1310.00,1048.07,917.00,786.00,655.00,524.00,393.00,262.04,228.10,228.02
1320,0.77,0.77,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1320.00,1320.00,1056.07,924.00,792.00,660.00,528.00,396.00,264.03,229.86,229.40
1330,0.77,0.77,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1330.00,1330.00,1064.08,931.00,798.00,665.00,532.00,399.00,266.03,231.25,231.46
1340,0.77,0.77,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1340.00,1340.00,1072.07,938.00,804.00,670.00,536.00,402.00,268.03,233.03,233.15
1350,0.77,0.77,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1350.00,1350.00,1080.07,945.00,810.00,675.00,540.00,405.00,270.04,234.93,234.74
1360,0.77,0.77,0.95,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,1360.00,1360.00,1088.07,952.00,816.00,680.00,544.00,408.00,272.04,236.51,236.92
1370,0.77,0.77,0.95,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1370.00,1370.00,1096.04,959.00,822.00,685.00,548.00,411.00,274.02,238.37,238.32
1380,0.77,0.77,0.95,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1380.00,1380.00,1104.04,966.00,828.00,690.00,552.00,414.00,276.03,239.98,240.02
